,Title,Title_link
56,OOPs Tutorial in One Shot | Object Oriented Programming | in C++ Language | for Placement Interviews,https://www.youtube.com/watch?v=mlIUKyZIUUU&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=56&pp=iAQB
57,Introduction to Linked List | Data Structures & Algorithms,https://www.youtube.com/watch?v=LyuuqCVkP5I&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=57&pp=iAQB
58,Reverse a Linked List | DSA Series by @shradhaKD,https://www.youtube.com/watch?v=R-CKBYnOv1U&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=58&pp=iAQB
59,Middle of a Linked List | DSA Series by @shradhaKD,https://www.youtube.com/watch?v=nzaHG0dme4g&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=59&pp=iAQB
60,Detect & Remove Cycle in Linked List | DSA Series by @shradhaKD,https://www.youtube.com/watch?v=-1E8ZMS0gSs&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=60&pp=iAQB
61,Merge Two Sorted Lists | DSA Series by @shradhaKD,https://www.youtube.com/watch?v=f8RPIb-0DDE&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=61&pp=iAQB
62,Copy List with Random Pointer | DSA Series by @shradhaKD,https://www.youtube.com/watch?v=8ze7Zopdsaw&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=62&pp=iAQB
63,Doubly Linked List Tutorial,https://www.youtube.com/watch?v=bO5DasTsaRQ&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=63&pp=iAQB
64,Circular Linked List in Data Structures,https://www.youtube.com/watch?v=e6lZY5Yha8U&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=64&pp=iAQB0gcJCdoKAYcqIYzv
65,Flatten a Doubly Linked List | Leetcode 430 | DSA Series by @shradhaKD,https://www.youtube.com/watch?v=I8b0rff5F9M&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=65&pp=iAQB0gcJCdoKAYcqIYzv
66,Reverse Nodes in K-Group | Linked List,https://www.youtube.com/watch?v=-swgIiMIlJo&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=66&pp=iAQB
67,Swap Nodes in Pairs | Linked List,https://www.youtube.com/watch?v=wwbTMNVlFHQ&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=67&pp=iAQB
68,Introduction to STACKS | Data Structures & Algorithms | Lecture 66,https://www.youtube.com/watch?v=0X-fV-1ir9c&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=68&pp=iAQB
69,Valid Parentheses | Stack | Lecture 67,https://www.youtube.com/watch?v=NlHupEeDXzY&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=69&pp=iAQB
70,Stock Span Problem | Optimal Solution,https://www.youtube.com/watch?v=01vBuZyMfqk&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=70&pp=iAQB
71,Next Greater Element | Optimal Solution & Code,https://www.youtube.com/watch?v=NKbExYwvjb0&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=71&pp=iAQB
72,Previous Smaller Element | Optimal Solution & Code,https://www.youtube.com/watch?v=WnjUfBn9nZM&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=72&pp=iAQB
73,Design a Min Stack | Optimal Solution & Code,https://www.youtube.com/watch?v=wHDm-N2m2XY&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=73&pp=iAQB
74,Largest Rectangle in Histogram | Best Solution & Code,https://www.youtube.com/watch?v=ysy1o-QEj3k&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=74&pp=iAQB
75,L73. Next Greater Element - II | Stack & Queue,https://www.youtube.com/watch?v=If--3pm9K3U&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=75&pp=iAQB
76,L74. Trapping Rainwater Problem | Optimal Solution & Code,https://www.youtube.com/watch?v=UHHp8USwx4M&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=76&pp=iAQB
77,L75. The Celebrity Problem | Stack & Queue,https://www.youtube.com/watch?v=OZPmEA_8FM8&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=77&pp=iAQB
78,L76. Implement LRU Cache | Linked List,https://www.youtube.com/watch?v=GsY6y0iPaHw&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=78&pp=iAQB
79,New Chapter : Queue Data Structure,https://www.youtube.com/watch?v=Khf9v67Ya30&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=79&pp=iAQB
80,L78. Circular Queue in Data Strucuture,https://www.youtube.com/watch?v=4mKKolshFD0&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=80&pp=iAQB
81,L79. Implement Queue using Stack & Stack using Queue,https://www.youtube.com/watch?v=sFvP5Ois0CE&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=81&pp=iAQB
82,L80. First Unique Character in String | Easy - Leetcode387,https://www.youtube.com/watch?v=sqyCBvEQN9c&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=82&pp=iAQB
83,L81. Sliding Window Maximum | Queue,https://www.youtube.com/watch?v=XwG5cozqfaM&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=83&pp=iAQB
84,L82. Gas Station | Greedy Approach | Leetcode 134,https://www.youtube.com/watch?v=SmTow5Ht4iU&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=84&pp=iAQB
85,Binary Trees in Data Structures | Tree Traversal | DSA Placement Series,https://www.youtube.com/watch?v=eKJrXBCRuNQ&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=85&pp=iAQB0gcJCdoKAYcqIYzv
86,L.84 Height of a Binary Tree | Count of Nodes in a Binary Tree,https://www.youtube.com/watch?v=7tzHzN_Ehus&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=86&pp=iAQB
87,L.85 Identical Tree (same tree) | Subtree of another Tree,https://www.youtube.com/watch?v=tumW7jsjv68&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=87&pp=iAQB
88,L.86 Diameter of Binary Tree,https://www.youtube.com/watch?v=aPyDPImR5UM&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=88&pp=iAQB0gcJCdoKAYcqIYzv
89,Top View of a Binary Tree | DSA Series : L.87,https://www.youtube.com/watch?v=FGr-syrhvOA&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=89&pp=iAQB
90,Kth Level of a Binary Tree | DSA Series : L.88,https://www.youtube.com/watch?v=ze4JO_ODl3w&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=90&pp=iAQB
91,Lowest Common Ancestor in Binary Tree | DSA Series : L.89,https://www.youtube.com/watch?v=oX5D0uKOMck&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=91&pp=iAQB
92,Build Tree from Preorder & Inorder | DSA Series : L.90,https://www.youtube.com/watch?v=33b1M980cCA&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=92&pp=iAQB
93,Transform to Sum Tree | DSA Series : L.91,https://www.youtube.com/watch?v=TY6kEejJEM0&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=93&pp=iAQB
94,Binary Tree Paths | DSA Series : L.92,https://www.youtube.com/watch?v=AWJD__CfM6A&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=94&pp=iAQB
95,Maximum Width of Binary Tree | DSA Series : L.93,https://www.youtube.com/watch?v=rhz-csskg_A&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=95&pp=iAQB
96,Morris Inorder Traversal | DSA Series : L.94,https://www.youtube.com/watch?v=PUfADhkq1LI&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=96&pp=iAQB0gcJCdoKAYcqIYzv
97,Flatten Binary Tree to Linked List | DSA Series : L.95,https://www.youtube.com/watch?v=dU2Z5HWSGM0&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=97&pp=iAQB
98,Binary Search Trees (BSTs) | DSA Series : L.96,https://www.youtube.com/watch?v=RuF7dPfj27Q&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=98&pp=iAQB0gcJCdoKAYcqIYzv
99,Sorted Array to Balanced BST | DSA Series : L.97,https://www.youtube.com/watch?v=0s6sCjs_4g0&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=99&pp=iAQB
100,Validate Binary Search Tree | DSA Series : L.98,https://www.youtube.com/watch?v=dSBcCynP1nA&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=100&pp=iAQB
101,Min Distance between BST Nodes | DSA Series : L.99,https://www.youtube.com/watch?v=WZmjRXF_Zi4&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=101&pp=iAQB
102,Kth Smallest in BST | DSA Series : L.100,https://www.youtube.com/watch?v=Kq4BbvIhj44&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=102&pp=iAQB
103,Lowest Common Ancestor in BST | DSA Series : L.101,https://www.youtube.com/watch?v=ORxkZ12FrU4&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=103&pp=iAQB
104,Construct BST from Preorder | DSA Series : L.102,https://www.youtube.com/watch?v=-n5Ur1wE5Jc&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=104&pp=iAQB
105,Merge Two Binary Search Trees | DSA Series : L.103,https://www.youtube.com/watch?v=AiKZjCuy2k4&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=105&pp=iAQB
106,Recover BST | DSA Series : L.104,https://www.youtube.com/watch?v=0KGzfij_SCk&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=106&pp=iAQB
107,Largest BST in Binary Tree | DSA Series : L.105,https://www.youtube.com/watch?v=Pr-HFxp7npk&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=107&pp=iAQB
108,Populate Next Right Pointers in Each Node | DSA Series : L.106,https://www.youtube.com/watch?v=a8VKpW1DsD8&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=108&pp=iAQB0gcJCdoKAYcqIYzv
109,BST Iterator | DSA Series : L.107,https://www.youtube.com/watch?v=dS1bKglre3A&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=109&pp=iAQB
110,Inorder Predecessor & Successor in BST | DSA Series : L.108,https://www.youtube.com/watch?v=IHNkql1tAnk&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=110&pp=iAQB
111,Introduction to Graphs | Data Structure & Algorithms,https://www.youtube.com/watch?v=RpgyCJBbl5E&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=111&pp=iAQB0gcJCdoKAYcqIYzv
112,BFS Traversal in Graphs | Data Structure & Algorithms,https://www.youtube.com/watch?v=scQITTLgFJo&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=112&pp=iAQB
113,DFS Traversal in Graphs | Data Structure & Algorithms,https://www.youtube.com/watch?v=3czYbhac160&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=113&pp=iAQB
114,Detect a Cycle in Undirected Graph using DFS | Data Structure & Algorithms,https://www.youtube.com/watch?v=OZClCpPQDR4&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=114&pp=iAQB
115,Detect a Cycle in Undirected Graph using BFS | Data Structure & Algorithms,https://www.youtube.com/watch?v=MIjOkApZ39g&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=115&pp=iAQB
116,Number of Islands | Connected Components in Matrix | Leetcode 200,https://www.youtube.com/watch?v=AME6baBpswY&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=116&pp=iAQB
117,Rotting Oranges | Multi-source BFS | Leetcode 994,https://www.youtube.com/watch?v=RmXo5SWkhCs&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=117&pp=iAQB
118,Detect a Cycle in Directed Graph using DFS | Lecture 116,https://www.youtube.com/watch?v=AcppN5XFt24&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=118&pp=iAQB
119,Topological Sorting in Graph | using DFS | Lecture 117,https://www.youtube.com/watch?v=0WIINUY12Yg&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=119&pp=iAQB
120,Course Schedule Problem | using Graph & Topological Sort,https://www.youtube.com/watch?v=37cJ38HadM4&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=120&pp=iAQB
121,Course Schedule II Problem | using Graph & Topological Sort,https://www.youtube.com/watch?v=rZsgWxodGmM&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=121&pp=iAQB0gcJCdoKAYcqIYzv
122,Flood Fill Algorithm | Graph Problem,https://www.youtube.com/watch?v=JI_e2RzARbM&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=122&pp=iAQB
123,Topological Sorting using Kahn's Algorithm | Graph - DSA Lecture 121,https://www.youtube.com/watch?v=BnQpaTZg6Sc&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=123&pp=iAQB
124,Dijkstra's Algorithm - Single Source Shortest Path - Greedy Method,https://www.youtube.com/watch?v=8gYBHjtjWBI&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=124&pp=iAQB0gcJCdoKAYcqIYzv
125,Bellman Ford Algorithm - Single Source Shortest Path - Dynamic Programming,https://www.youtube.com/watch?v=3rFHlbJ7qKc&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=125&pp=iAQB
126,"DSA Series Quick Update - 125 lectures | New DSA Sheet | DP, Heaps, Tries etc",https://www.youtube.com/watch?v=YlmU4gBgePA&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=126&pp=iAQB
