,BRAND_NAME,BRAND_WEBSITE
188,Nuts ‘N More,https://markcubancompanies.com/companies/nuts-n-more/?modal
189,SubSafe,https://markcubancompanies.com/companies/subsafe/?modal
190,The Living Christmas Company,https://markcubancompanies.com/companies/the-living-christmas-co/?modal
191,The Lapel Project,https://markcubancompanies.com/companies/the-lapel-project/?modal
192,R. Riveter,https://markcubancompanies.com/companies/r-riveter/?modal
193,Prep Expert,https://markcubancompanies.com/companies/prep-expert/?modal
194,Packback,https://markcubancompanies.com/companies/packback/?modal
195,MeshTek Labs,https://markcubancompanies.com/companies/ilumi/?modal
196,Hugo’s Amazing Tape,https://markcubancompanies.com/companies/hugos-amazing-tape/?modal
197,Echo Valley Meats,https://markcubancompanies.com/companies/echo-valley-meats/?modal
198,Dude Products,https://markcubancompanies.com/companies/dude-products-inc/?modal
199,Combat Flip Flops,https://markcubancompanies.com/companies/combat-flip-flops/?modal
200,Chapul,https://markcubancompanies.com/companies/chapul/?modal
201,Brightwheel,https://markcubancompanies.com/companies/brightwheel/?modal
202,LuminAID,https://markcubancompanies.com/companies/luminaid/?modal
203,Simple Sugars,https://markcubancompanies.com/companies/simple-sugars/?modal
204,Zoobean,https://markcubancompanies.com/companies/zoobean/?modal
205,Tower Paddle Boards,https://markcubancompanies.com/companies/tower-paddle-boards/?modal
206,Loliware,https://markcubancompanies.com/companies/loliware/?modal
207,CivicScience,https://markcubancompanies.com/companies/civicscience/?modal
208,Open Garden,https://markcubancompanies.com/companies/open-garden/?modal
209,AngelHack Corporation,https://markcubancompanies.com/companies/angelhack-corporation/?modal
210,Sriracha2Go,https://markcubancompanies.com/companies/sriracha2go/?modal
